Data,Hora,Temperatura (°C),Umidade (%),Peso (g),Luminosidade (lumens)
2023-01-01,00:00:00,18.3,72.8,0.0,186.3
2023-01-01,01:00:00,20.4,77.5,0.0,112.1
2023-01-01,02:00:00,19.0,78.8,0.0,259.5
2023-01-01,03:00:00,18.7,78.8,0.0,231.6
2023-01-01,04:00:00,19.7,73.3,0.0,102.9
2023-01-01,05:00:00,20.0,80.0,0.0,204.9
2023-01-01,06:00:00,23.5,68.0,0.0,600.9
2023-01-01,07:00:00,24.3,71.1,0.0,991.9
2023-01-01,08:00:00,25.5,76.8,0.0,718.5
2023-01-01,09:00:00,22.6,79.6,0.0,708.6
2023-01-01,10:00:00,25.4,75.7,0.0,633.3
2023-01-01,11:00:00,22.7,77.9,0.0,828.2
2023-01-01,12:00:00,26.8,62.6,0.0,823.9
2023-01-01,13:00:00,28.6,61.2,0.0,909.9
2023-01-01,14:00:00,28.0,62.0,0.0,718.3
2023-01-01,15:00:00,28.4,59.5,0.0,699.6
2023-01-01,16:00:00,28.0,63.7,0.0,676.4
2023-01-01,17:00:00,26.2,65.5,0.0,518.7
2023-01-01,18:00:00,21.6,77.4,0.0,197.0
2023-01-01,19:00:00,22.0,66.7,0.0,245.2
2023-01-01,20:00:00,23.7,66.7,0.0,258.0
2023-01-01,21:00:00,23.6,69.4,0.0,210.1
2023-01-01,22:00:00,21.4,66.5,0.0,177.0
2023-01-01,23:00:00,20.6,68.2,0.0,193.2
2023-01-02,00:00:00,17.9,77.0,0.0,233.9
2023-01-02,01:00:00,20.1,74.1,0.0,238.5
2023-01-02,02:00:00,18.3,78.1,0.0,274.4
2023-01-02,03:00:00,19.4,72.9,0.0,141.0
2023-01-02,04:00:00,18.7,80.0,0.0,263.0
2023-01-02,05:00:00,19.1,75.9,0.0,254.9
2023-01-02,06:00:00,23.9,67.5,0.0,505.6
2023-01-02,07:00:00,26.4,78.5,0.0,739.7
2023-01-02,08:00:00,23.2,75.8,0.0,656.7
2023-01-02,09:00:00,24.3,70.3,0.0,841.9
2023-01-02,10:00:00,23.5,73.7,0.0,870.7
2023-01-02,11:00:00,23.1,71.4,0.0,879.7
2023-01-02,12:00:00,25.8,66.0,74.92,589.9
2023-01-02,13:00:00,26.3,66.2,0.0,898.2
2023-01-02,14:00:00,26.2,64.3,0.0,715.8
2023-01-02,15:00:00,26.1,61.6,0.0,681.9
2023-01-02,16:00:00,26.7,65.5,0.0,536.3
2023-01-02,17:00:00,26.4,59.6,0.0,577.8
2023-01-02,18:00:00,22.6,67.5,0.0,281.3
2023-01-02,19:00:00,23.2,75.0,0.0,238.9
2023-01-02,20:00:00,21.1,77.9,0.0,184.2
2023-01-02,21:00:00,21.1,69.5,0.0,200.3
2023-01-02,22:00:00,22.3,69.8,0.0,298.4
2023-01-02,23:00:00,22.6,73.7,0.0,215.1
2023-01-03,00:00:00,20.8,80.0,0.0,113.6
2023-01-03,01:00:00,19.7,80.0,0.0,135.6
2023-01-03,02:00:00,20.2,80.0,0.0,193.2
2023-01-03,03:00:00,18.9,75.8,0.0,296.7
2023-01-03,04:00:00,20.3,76.9,0.0,180.0
2023-01-03,05:00:00,19.5,70.5,0.0,206.5
2023-01-03,06:00:00,22.8,75.7,0.0,634.7
2023-01-03,07:00:00,24.5,69.2,0.0,821.4
2023-01-03,08:00:00,24.7,74.8,0.0,692.7
2023-01-03,09:00:00,25.2,71.2,0.0,733.8
2023-01-03,10:00:00,23.9,71.2,0.0,880.9
2023-01-03,11:00:00,24.0,74.9,0.0,642.2
2023-01-03,12:00:00,24.6,67.3,0.0,851.3
2023-01-03,13:00:00,26.2,63.5,0.0,631.5
2023-01-03,14:00:00,26.2,68.8,0.0,689.3
2023-01-03,15:00:00,28.7,62.0,0.0,572.2
2023-01-03,16:00:00,26.2,62.1,0.0,751.5
2023-01-03,17:00:00,26.6,64.9,0.0,674.5
2023-01-03,18:00:00,21.2,70.4,0.0,252.2
2023-01-03,19:00:00,22.9,76.1,0.0,154.3
2023-01-03,20:00:00,22.0,75.9,0.0,278.7
2023-01-03,21:00:00,22.4,70.9,0.0,206.1
2023-01-03,22:00:00,22.1,76.3,0.0,291.7
2023-01-03,23:00:00,21.0,73.9,0.0,276.9
2023-01-04,00:00:00,19.0,75.1,0.0,276.9
2023-01-04,01:00:00,19.4,79.6,0.0,283.6
2023-01-04,02:00:00,17.3,74.1,0.0,181.7
2023-01-04,03:00:00,18.8,80.0,0.0,292.1
2023-01-04,04:00:00,20.1,80.0,0.0,165.3
2023-01-04,05:00:00,21.5,76.4,0.0,104.4
